ID	PercChange_ActNoCorr/Ingreso	PercChange_CostoOperacion/Ingreso	PercChange_GastoAdmin/Ingreso	PercChange_NPersonal/Ingreso	PercChange_Liquidez	PercChange_ROA	PercChange_ROE	Whealth_Creation
2016-2017_BANCO PICHINCHA (ANTES BANCO FINANCIERO DEL PERU)	-6.50	-2.05	0.29	-10.73	-2.25	-24.78	-34.56	1
2016-2017_BBVA BANCO CONTINENTAL	2.94	-4.62	0.36	-7.21	-38.72	6.45	-5.32	1
2016-2017_CEMENTOS PACASMAYO S.A.A.	-5.47	0.69	2.36	33.73	-20.98	-15.72	-6.14	1
2016-2017_CERVECERIA SAN JUAN S.A.	-10.20	-5.10	-45.24	-15.22	188.37	43.46	68.53	1
2016-2017_CINEPLEX S.A.	-4.60	0.11	11.24	-12.22	1394.46	-6.01	-10.91	1
2016-2017_COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.	-19.11	-0.35	-14.18		423.35			1
2016-2017_COMPAÑÍA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.	-34.74	-13.27	15.88	-16.17	440.10	11.17	11.17	1
2016-2017_CONSORCIO CEMENTERO DEL SUR S.A. - CONCESUR S.A.	0.12	5.46	18.60	15.57	389.14	-28.19	-28.65	1
2016-2017_CORPORACION ACEROS AREQUIPA S.A.	-14.89	2.56	-16.75	-7.66	-49.26	24.92	27.12	1
2016-2017_CORPORACION CERVESUR S.A.A.	3.01	3.61	-8.09	-9.82	148.35	12.66	8.26	0
2016-2017_CORPORACIÓN FINANCIERA DE INVERSIONES S.A.	14.58	-2.23	10.38	0.72	-91.78	38.79	53.86	1
2016-2017_CORPORACION LINDLEY S.A.	-1.34	-1.83	-6.72	-10.51	590.01	-33.28	-41.26	1
2016-2017_CREDICORP CAPITAL PERÚ S.A.A.	-17.09	-0.41	-6.21		-99.71	14.13	39.79	1
2016-2017_CREDITEX S.A.A.	-8.57	1.44	-5.71	6.61	-65.13	1548.36	1548.36	1
2016-2017_DIVISO GRUPO FINANCIERO S.A.	-16.40	7.78	-13.39	77.58	-96.88			1
2016-2017_ELECTRO DUNAS S.A.A.	4.35	0.69	5.82	2.78	608.84	-1.11	3.51	1
2016-2017_EMPRESA EDITORA EL COMERCIO S.A.	15.40	4.86	17.12	46.82	547.28	-84.54	-84.33	1
2016-2017_ENEL GENERACIÓN PERÚ S.A.A.	-2.97	0.20	-15.73	-1.23	98.43	79.32	63.19	1
2016-2017_EXSA S.A.	27.31	-0.77	6.98	-1.66	-16.56	16.94	6.14	1
2016-2017_FALABELLA PERÚ S.A.A.	-5.71	0.06	6.36		26.92	-42.59	-47.09	1
2016-2017_FERREYCORP S.A.A.	-3.97	0.33	2.85	-10.11	-65.02	13.99	6.65	1
2016-2017_FUTURA CONSORCIO INMOBILIARIO S.A.	3.77	-11.92	12.90		-68.29			1
2016-2017_GR HOLDING S.A.	9.21	-4.35	6.91	-11.97	-77.07	21.52	11.40	1
2016-2017_GRAÑA Y MONTERO S.A.A.	3.06	-2.27	14.27	7.95	-11.36			1
2016-2017_INRETAIL PERÚ CORP.	-2.78	0.49	1.18		12.55	0.55	-1.65	0
2016-2017_INTERCORP FINANCIAL SERVICES INC.	64.07	6.69	1.52			-14.22	-13.94	1
2016-2017_INTRADEVCO INDUSTRIAL S.A.	22.48	4.10	6.98	-8.82	-56.69	-19.87	-24.91	1
2016-2017_INVERSIONES CENTENARIO S.A.A.	0.02	16.12	3.13	-5.88	83.84	-10.43	-12.04	1
2016-2017_INVERSIONES NACIONALES DE TURISMO S.A. - INTURSA	94.57	-1.04	36.48	-26.96	265.44	-100.00	-100.00	0
2016-2017_LA POSITIVA SEGUROS Y REASEGUROS S.A.A.	4.19	16.60	6.29	-35.39	170.50	17.97	5.77	1
2016-2017_LECHE GLORIA S.A.	9.09	-4.54	13.63	-1.40	-8.87	21.13	20.10	0
2016-2017_LUZ DEL SUR S.A.A.	11.16	-2.71	-12.67	-4.90	1331.68	8.87	8.68	1
2016-2017_MAPFRE PERÚ VIDA COMPAÑÍA DE SEGUROS Y REASEGUROS	-12.48	-8.61	11.66	-22.15	92.36	21.67	-3.66	1
2016-2017_MINSUR S.A.	-3.49	-0.23	5.55	-3.92	-47.72	-12.72	-9.07	1
2016-2017_NEXA RESOURCES PERU S.A.A. (ANTES COMPAÑÍA MINERA MILPO S.A.A.)	-26.95	-12.32	-44.36	26.82	-83.99	71.95	83.95	1
2016-2017_PERU HOLDING DE TURISMO S.A.A.	8.89		-33.34		9238.46			1
2016-2017_QUIMPAC S.A.	-11.83	-2.69	-18.82	-8.72	191.88	45.76	42.83	1
2016-2017_REFINERIA LA PAMPILLA S.A.A. - RELAPA S.A.A.	-14.57	1.82	-14.93	-12.54	19.56	11.77	19.38	1
2016-2017_RIMAC SEGUROS Y REASEGUROS	5.10	3.41	3.55		41.27	-74.07	-73.54	1
2016-2017_SAGA FALABELLA S.A.	-13.45	0.19	7.27	11.98	-7.34	-4.40	0.35	1
2016-2017_SCOTIABANK PERU S.A.A.	0.18	-1.41	-3.19	-11.49		-0.11	-8.24	1
2016-2017_TELEFONICA DEL PERU S.A.A.	7.02		13.33	1.80	716.58	-100.00	-100.00	1
2016-2017_UNIÓN ANDINA DE CEMENTOS S.A.A. -UNACEM S.A.A.	-4.04	1.01	-3.46	-0.61	517.93	117.55	107.22	1
2016-2017_UNION DE CERVECERIAS PERUANAS BACKUS Y JOHNSTON S.A.A.	-10.20	-5.10	-45.24		117.50	43.46	68.53	0
2016-2017_VOLCAN COMPAÑIA MINERA S.A.A.	-10.69	-6.60	-0.73	99.08	268.60	-100.00	-100.00	1
